,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1000.0,2000.0,3000.0,4000.0,5000.0,6000.0,-1000.0,-2000.0,-3000.0,-4000.0,-5000.0,-6000.0,1000.0,-1000.0
1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1000.0,2000.0,3000.0,4000.0,5000.0,-0.0,-1000.0,-2000.0,-3000.0,-4000.0,-5000.0,1000.0,-1000.0
2,1000.0,0.0,0.0,0.0,0.0,0.0,-1000.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1000.0,2000.0,3000.0,4000.0,-0.0,-0.0,-1000.0,-2000.0,-3000.0,-4000.0,1000.0,-1000.0
3,2000.0,1000.0,0.0,0.0,0.0,0.0,-2000.0,-1000.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1000.0,2000.0,3000.0,-0.0,-0.0,-0.0,-1000.0,-2000.0,-3000.0,1000.0,-1000.0
4,3000.0,2000.0,1000.0,0.0,0.0,0.0,-3000.0,-2000.0,-1000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,-0.0,-0.0,-0.0,-0.0,-1000.0,-2000.0,1000.0,-1000.0
5,4000.0,3000.0,2000.0,1000.0,0.0,0.0,-4000.0,-3000.0,-2000.0,-1000.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1000.0,1000.0,-1000.0
6,5000.0,4000.0,3000.0,2000.0,1000.0,0.0,-5000.0,-4000.0,-3000.0,-2000.0,-1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1000.0,-1000.0
7,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
