CUSIP,Principal
912810ST6,4213604.97
912810QL5,7.58
912810QN1,2.69
912810SW9,6.94
912810SY5,1142575.53
912810QQ4,6.81
912810QS0,4.08
912810TA6,7.34
912810TC2,4455404.91
912810QT8,24.86
912810QU5,0.31
912810TF5,0.32
912810TH1,0.24
912810QW1,0.24
912810QX9,0.22
912810TK4,0.21
912810QY7,0.2
912810TM0,0.2
912810TQ1,0.18
912810QZ4,0.19
912810RB6,0.18
912810TS7,0.18
912810TU2,0.17
912810RC4,0.17
912810RD2,0.16
912810TW8,0.16
912810RE0,0.16
912810RG5,0.16
912810RH3,0.15
912810RJ9,0.15
912810RK6,0.15
912810RM2,0.14
912810RN0,0.14
912810RP5,0.14
912810RQ3,0.14
912810RS9,0.14
912810RT7,0.14
912810RU4,0.13
912810RV2,0.13
912810RX8,0.13
912810RY6,0.13
912810RZ3,0.13
912810SA7,0.12
912810SC3,0.12
912810SD1,0.12
912810SE9,0.12
912810SF6,0.12
912810SH2,0.12
912810SJ8,0.13
912810SK5,0.12
912810SL3,0.13
912810SN9,0.14
912810SP4,0.13
912810SS8,0.13
912810SU3,0.13
912810SX7,0.13
912810SZ2,0.13
912810TB4,0.13
912810TD0,0.13
912810TG3,0.12
912810TJ7,0.12
912810TL2,0.11
912810TN8,0.11
912810TR9,0.12
912810TT5,0.11
912810TV0,0.1
