,0
0,3432.6
1,2432.4
2,1439.8
3,483.3
4,1.65
5,0.1
6,-3420.5
7,-2420.3
8,-1430.4
9,-482.9
10,-1.5
11,-0.0
12,0.15
13,1.1
14,7.4
15,52.9
16,577.0
17,1574.5
18,-0.0
19,-0.95
20,-7.2
21,-52.5
22,-564.9
23,-1562.4
24,14.264233908999255
25,-14.264233908999255
